1992bo	3.734	0.31	0.00	34.72	0.16	1.59	0.01	34.88	0.21	E
1992bc	3.779	-0.50	0.00	34.87	0.11	0.88	0.00	34.77	0.15	L
1992aq	4.481	0.05	0.00	38.41	0.15	1.12	0.18	38.33	0.23	L
1992ae	4.350	-0.05	0.00	37.80	0.17	1.21	0.28	37.77	0.19	E
1992P	3.896	-0.19	0.00	35.76	0.13	0.94	0.14	35.59	0.16	L
1990af	4.178	0.09	0.18	36.53	0.15	1.66	0.16	36.67	0.25	L
1994M	3.859	0.04	0.08	35.39	0.18	1.47	0.06	35.49	0.20	E
1994S	3.685	-0.44	0.00	34.27	0.12	1.02	0.03	34.34	0.14	L
1994T	4.030	0.11	0.22	36.19	0.21	1.35	0.19	36.50	0.20	L
1995D	3.398	-0.42	0.00	33.01	0.13	0.96	0.23	32.79	0.16	E
1995E	3.547	-0.61	2.67	33.60	0.17	1.03	2.47	33.73	0.17	L
1995ac	4.166	-0.47	0.00	36.85	0.13	0.99	0.22	36.60	0.16	L
1995ak	3.820	0.15	0.00	35.15	0.16	1.28	0.06	35.43	0.18	L
1995bd	3.679	-0.29	2.52	34.15	0.19	0.87	2.67	34.00	0.18	L
1996C	3.924	-0.07	0.24	35.98	0.20	0.97	0.42	35.82	0.20	L
1996ab	4.572	-0.13	0.00	39.01	0.13	1.10	0.09	39.10	0.17	L
1992ag	3.891	-0.50	0.77	35.37	0.23	1.12	0.09	35.53	0.20	L
1992al	3.625	-0.35	0.00	33.92	0.11	1.13	0.00	34.13	0.14	L
1992bg	4.024	-0.06	0.50	36.26	0.21	1.14	0.44	36.49	0.21	L
1992bh	4.130	-0.16	0.28	36.91	0.17	1.05	0.34	36.87	0.17	L
1992bl	4.111	-0.06	0.00	36.26	0.15	1.50	0.00	36.53	0.20	L
1992bp	4.379	-0.26	0.04	37.65	0.13	1.27	0.03	37.96	0.15	E
1992br	4.418	0.40	0.00	38.21	0.19	1.77	0.02	38.09	0.36	E
1992bs	4.283	0.00	0.00	37.61	0.14	1.10	0.24	37.63	0.18	L
1993H	3.871	0.16	0.67	35.20	0.26	1.59	0.72	35.23	0.25	L
1993O	4.189	0.03	0.00	37.03	0.12	1.18	0.00	37.31	0.14	E
1993ag	4.177	-0.19	0.64	36.80	0.17	1.29	0.55	37.11	0.19	E
