1996E;0,43;22,72;0,19;22,6;0,12;1,18;0,13;0,1;42,03;0,22
1996H;0,62;23,31;0,06;23,57;0,06;0,87;0,05;0;43,01;0,15
1996I;0,57;23,42;0,08;23,61;0,08;1,39;0,17;0;42,83;0,21
1996J;0,3;22,28;0,05;22,06;0,05;1,27;0,27;0,64;40,99;0,25
1996K;0,38;22,8;0,05;22,86;0,08;1,31;0,14;0;42,21;0,18
1996U;0,43;22,77;0,05;22,96;0,11;1,18;0,1;0;42,34;0,17
1997ce;0,44;22,83;0,05;22,92;0,05;1,3;0,06;0;42,26;0,16
1997cj;0,5;23,29;0,05;23,29;0,05;1,16;0,03;0,09;42,7;0,16
1997ck;0,97;24,78;0,16;1999;1999;1;0,17;1999;44,3;0,19
1995K;0,48;22,92;0,08;23,07;0,07;1,16;0,18;0;42,49;0,17
