N,Identifier,Otype,ICRS (J2000)RA,ICRS (J2000)DEC,Mag U,Mag B,Mag V,Mag R,Mag I,Sp type,#ref 1850 - 2022,#notes
1,SN 2006nf,SN*,00 01 30.18,+00 16 31.7,,,,,,SNIa,10,1
2,SN 2005ed,SN*,00 02 49.36,+00 45 04.8,,,,,,SNIa,19,1
3,SN 2006sr,SN*,00 03 35.02,+23 11 46.2,,,17.4,,,SNIa,44,1
4,SN 2007ic,SN*,00 05 57.98,+01 06 11.1,,,,,,SNIa,7,1
5,SN 2006jh,SN*,00 06 45.742,-00 02 12.29,,,,,,SNIa,16,1
6,SN 2005ih,SN*,00 07 13.58,+00 20 56.3,,22.6,,,,SNIa,16,1
7,SN 2005fi,SN*,00 07 58.69,+00 38 17.4,,22.4,,,,SNIa,16,1
8,SN 2006lj,SN*,00 10 43.5,+00 12 06,,,,,,SNIa,16,1
9,SN 2006jz,SN*,00 11 24.50,+00 42 07.1,,,,,,SNIa,22,1
10,SN 2007ju,SN*,00 11 50.465,-00 20 21.67,,,,,,SNIa,20,1
11,SN 2007jq,SN*,00 11 58.61,+00 59 53.4,,,,,,SNIa,8,1
12,SN 2007mu,SN*,00 12 18.56,-00 04 38.3,,,,,,SNIa,10,1
13,SN 2006nv,SN*,00 12 29.86,-00 58 38.2,,,,,,SNIa,10,1
14,SN 2005hx,SN*,00 13 00.13,+00 14 53.7,,20.6,,,,SNIa,27,1
15,SN 2005ii,SN*,00 13 03.73,-00 37 12.4,,22.3,,,,SNIa,19,1
16,SN 2005mm,SN*,00 13 09.55,+01 08 43.9,,22.2,,,,SNIa,13,1
17,SN 2007kx,SN*,00 13 42.874,+00 39 08.38,,,,,,SNIa,14,1
18,SN 2005hy,SN*,00 14 23.602,+00 19 59.09,,21.7,,,,SNIa,24,1
19,SDSS-II SN 13689,SN*,00 16 03.66,+00 48 30.1,,,,,,~,6,0
20,SN 2006fz,SN*,00 16 41.35,-00 25 28.3,,,,,,SNIa,20,1
21,SN 2005ji,SN*,00 17 18.34,-00 15 26.1,,,,,,SNIa,18,1
22,SN 2005jn,SN*,00 19 00.84,-00 16 53.3,,,,,,SNIa,17,1
23,SN 2006kr,SN*,00 19 19.68,+01 05 26.6,,,,,,SNIa,11,1
24,SN 2007kq,SN*,00 19 43.970,-00 24 00.35,,,,,,SNIa,15,1
25,SN 2007oi,SN*,00 21 17.87,+01 04 28.3,,,,,,SNIa?,7,1
26,SN 2006er,SN*,00 21 37.8,-01 00 38,,,,,,SNIa,24,1
27,SN 2007px,SN*,00 22 43.96,-00 28 46.0,,,,,,SNIa,16,1
28,SN 2006pe,SN*,00 23 09.1,-00 03 12,,,,,,SNIa,16,1
29,SN 2006hp,SN*,00 24 14.25,-00 14 57.3,,,,,,SNIa,16,1
30,SN 2006go,SN*,00 24 33.76,-00 16 44.7,,,,,,SNIa,9,1
31,SN 2007kr,SN*,00 25 27.59,-00 50 21.6,,,,,,SNIa/c?,11,1
32,SN 2007jb,SN*,00 26 33.79,+00 02 31.1,,,,,,SNIa,8,1
33,SN 2006ff,SN*,00 26 35.64,-00 18 07.5,,,,,,SNIa,14,1
34,SN 2005ln,SN*,00 27 00.12,-00 35 11.8,,20.4,,,,SNIa,15,1
35,SN 2006lp,SN*,00 27 05.68,-00 07 33.5,,,,,,SNIa,16,1
36,SN 2005fp,SN*,00 27 13.69,+01 07 14.2,,22.1,,,,SNIa,22,1
37,SN 2006kk,SN*,00 27 39.86,+00 38 58.2,,,,,,SNIa,7,1
38,SN 2006gg,SN*,00 28 12.514,+00 07 04.77,,,,,,SNIa,15,1
39,SN 2007sh,SN*,00 29 24.67,+00 49 53.4,,,,,,SNIa,6,1
40,SN 2006jn,SN*,00 30 39.0,+00 08 31,,,,,,SNIa,17,1
41,SN 2005kp,SN*,00 30 53.153,-00 43 07.77,,21.8,,,,SNIa,28,1
42,SN 2006kl,SN*,00 31 33.38,-00 08 07.9,,,,,,SNIa,15,1
43,SN 2006ft,SN*,00 31 50.06,-00 22 58.7,,,,,,SNIa,10,1
44,SN 2007ml,SN*,00 31 53.46,+00 08 17.9,,,,,,SNIa,10,1
45,SN 2006of,SN*,00 32 25.838,-01 03 14.04,,,,,,SNIa,18,1
46,SN 2007ht,SN*,00 34 33.81,-01 13 03.1,,,,19.2,,SNIa,10,1
47,SN 2007ot,SN*,00 35 36.775,-00 13 57.36,,,,,,SNIa,10,1
48,SN 2007mv,SN*,00 35 37.668,+00 22 10.29,,,,,,SNIa,13,1
49,SN 2006oi,SN*,00 35 53.05,+00 15 30.3,,,,,,SNIa,7,1
50,SN 1996bl,SN*,00 36 17.97,+11 23 40.5,,17.05,16.63,,,SNIa,59,1
51,SN 2007ji,SN*,00 38 48.3,-00 10 45,,,,,,SNIa,11,1
52,SN 2006ej,SN*,00 38 59.77,-09 00 56.6,,16.0,16.4,,,SNIa,65,1
53,SN 2007qh,SN*,00 39 30.86,+01 01 27.6,,,,,,SNIa,11,1
54,SN 2007nd,SN*,00 40 18.81,-01 02 14.5,,,,,,SNIa,6,1
55,SN 2006gu,SN*,00 40 38.98,-00 04 25.0,,,,,,SNIa,12,1
56,SN 2007sb,SN*,00 41 23.69,+00 24 42.4,,,,,,SNIa,13,1
57,SN 2006et,SN*,00 42 45.82,-23 33 30.4,,,16.1,,,SNIa,62,1
58,SN 2007qp,SN*,00 42 48.43,+00 22 47.1,,,,,,SNIa,7,1
59,SN 2007ma,SN*,00 44 53.8,-00 59 48,,,,,,SNIa,18,1
60,SN 2005jc,SN*,00 45 24.41,+01 04 32.1,,,,,,SNIa,19,1
61,SN 2007lg,SN*,00 46 03.9,-00 00 38,,,,,,SNIa,16,1
62,SN 2007rs,SN*,00 46 27.40,-01 03 44.1,,,,,,SNIa,9,1
63,SN 2005hz,SN*,00 46 32.2,+00 50 17,,,,,,SNIa,25,1
64,SN 2006mo,SN*,00 46 38.55,+36 19 57.8,,,18.2,,,SNIa,31,1
65,SN 2006pb,SN*,00 46 43.5,-01 01 57,,,,,,SNIa,19,1
66,SN 2005gu,SN*,00 48 57.05,-00 54 20.8,,22.0,,,,SNIa,16,1
67,SN 2007lc,SN*,00 49 09.1,+00 35 47,,,,,,SNIa,19,1
68,SN 2007mb,SN*,00 50 11.1,+00 40 32,,,,,,SNIa,15,1
69,SN 2007ix,SN*,00 51 30.88,-00 56 50.6,,,,,,SNIa,11,1
70,SDSS-II SN 20088,SN*,00 52 49.2,+00 37 53,,,,,,SNIa,8,0
71,SN 2007ne,SN*,00 54 02.2,+01 04 08,,,,,,SNIa,14,1
72,SN 2006gh,SN*,00 54 46.94,-00 15 03.7,,,,,,SNIa,13,1
73,SN 2006nc,SN*,00 55 22.512,-00 23 21.16,,,,,,SNIa,24,1
74,SN 2006nz,SN*,00 56 29.21,-01 13 36.1,,,,,,SNIa,26,1
75,SN 2005ho,SN*,00 59 24.1,+00 00 09,,,,,,SNIa,30,1
76,SN 2006mt,SN*,00 59 31.06,-00 15 24.2,,,,,,SNIa,14,1
77,SN 2005eg,SN*,01 02 08.49,-00 52 44.5,,,,,,SNIa,26,1
78,SN 2006jy,SN*,01 02 56.35,+00 10 58.9,,,,,,SNIa,16,1
79,SN 2007nf,SN*,01 03 26.6,+00 19 53,,,,,,SNIa,16,1
80,SN 1998ef,SN*,01 03 26.87,+32 14 12.4,,15.21,,,,SNIa,63,1
81,SN 2007ri,SN*,01 06 52.28,+01 09 14.2,,,,,,SNIa,7,1
82,SN 2000dk,SN*,01 07 23.52,+32 24 23.2,,15.63,15.2,,,SNIa,93,1
83,SN 2007mc,SN*,01 07 25.6,+01 02 37,,,,,,SNIa,12,1
84,SN 2006ok,SN*,01 07 28.3,-00 16 09,,,,,,SNIa,16,1
85,SN 2005ga,SN*,01 07 43.76,-01 02 22.2,,21.3,,,,SNIa,25,1
86,SN 2006kd,SN*,01 07 49.944,+00 49 42.89,,,,,,SNIa,22,1
87,SN 2005fr,SN*,01 08 22.02,-00 05 46.7,,21.6,,,,SNIa,20,1
88,SN 2006oj,SN*,01 08 49.20,-00 59 22.1,,,,,,SNIa,11,1
89,SN 2007lh,SN*,01 08 52.02,+01 11 52.4,,,,,,SNIa,11,1
90,SN 2006hc,SN*,01 09 34.73,+00 42 14.9,,,,,,SNIa,13,1
91,SN 2007kv,SN*,01 10 15.94,+00 28 19.2,,,,,,SNIa,11,1
92,SN 2005go,SN*,01 10 49.18,+01 00 28.4,,22.3,,,,SNIa,16,1
93,SN 2005kt,SN*,01 10 58.00,+00 16 34.0,,,,,,SNIa,25,1
94,SN 2006md,SN*,01 11 31.49,+00 24 34.3,,,,22.2,,SNIa,13,1
95,SN 2005ia,SN*,01 11 35.02,-00 00 21.0,,21.7,,,,SNIa,18,1
96,SN 2007li,SN*,01 13 04.0,-00 32 24,,,,,,SNIa,12,1
97,SN 2006hx,SN*,01 13 57.31,+00 22 18.0,,,,,,SNIa,39,1
98,SN 2005gb,SN*,01 16 12.600,+00 47 30.90,,19.4,,,,SNIa,36,1
99,SN 2005ir,SN*,01 16 43.752,+00 47 40.36,,,,,,SNIa,58,1
100,SN 2002jy,SN*,01 21 16.27,+40 29 55.3,,,16.3,,,SNIa,34,1
101,SN 2007ka,SN*,01 21 22.70,-00 00 53.3,,,,,,SNIa,14,1
102,SN 2005gc,SN*,01 21 37.584,-00 58 38.01,,21.2,,,,SNIa,25,1
103,SN 1992bo,SN*,01 21 58.44,-34 12 43.5,,15.85,15.76,,,SNIa,113,1
104,SN 2006om,SN*,01 22 18.840,+01 00 37.26,,,,,,SNIa,12,1
105,SN 2007jz,SN*,01 23 56.01,+01 15 18.0,,,,,,SNIa,15,1
106,SN 2006pq,SN*,01 25 06.888,-01 13 09.80,,,,,,SNIa,13,1
107,SN 2001en,SN*,01 25 22.90,+34 01 30.5,,,17.5,,,SNIa,53,1
108,SN 2005gy,SN*,01 26 06.79,+00 40 36.8,,22.9,,,,SNIa,18,1
109,SN 2005hj,SN*,01 26 48.40,-01 14 17.2,,,,17.4,,SNIa,85,1
110,SN 1999dk,SN*,01 31 26.92,+14 17 05.7,,15.06,,,,SNIa,70,1
111,SN 2005jz,SN*,01 31 27.07,-00 37 54.0,,,,,,SNIa,17,1
112,SN 2007qg,SN*,01 32 01.97,-00 25 47.0,,,,,,SNIa,9,1
113,SN 2007ku,SN*,01 33 28.30,+00 31 28.6,,,,,,SNIa,10,1
114,SN 2006pr,SN*,01 34 14.784,-00 24 13.23,,,,,,SNIa,11,1
115,SN 2007ol,SN*,01 37 23.7,-00 18 42,,,,,,SNIa,27,1
116,SN 2001eh,SN*,01 38 12.10,+41 39 18.8,,,16.5,,,SNIa,49,1
117,SN 2005fa,SN*,01 39 36.0,-00 45 28,,,,,,SNIa,23,1
118,SN 2006hg,SN*,01 40 58.49,-00 43 42.4,,,,,,SNIa,14,1
119,SN 2007me,SN*,01 41 03.840,-00 26 53.78,,,,,,SNIa/c,14,1
120,SN 2005ex,SN*,01 41 51.2,-00 52 36,,,,,,SNIa,19,1
121,SN 2007or,SN*,01 42 38.3,+01 01 49,,,,,,SNIa,13,1
122,SN 2007qo,SN*,01 43 01.58,-00 56 42.7,,,,,,SNIa,14,1
123,SN 2006ps,SN*,01 43 45.312,-01 06 42.62,,,,,,SNIa,12,1
124,SN 2007ro,SN*,01 44 28.9,+00 13 47,,,,,,SNIa,12,1
125,SN 2007jj,SN*,01 45 26.73,-00 01 09.9,,,,,,SNIa,8,1
126,SN 2006nn,SN*,01 45 41.112,-01 03 16.45,,,,,,SNIa,17,1
