N,Identifier,Otype,ICRS (J2000)RA,ICRS (J2000)DEC,Mag U,Mag B,Mag V,Mag R,Mag I,Sp type,#ref 1850 - 2022,#notes
1,SN 1995aq,SN*,00 29 04.26,+07 51 20.0,,,,22.6,,SNI:,17,1
2,SN 1995ar,SN*,01 01 20.41,+04 18 33.8,,,,22.71,,SNI:,21,1
3,SN 1995as,SN*,01 01 35.30,+04 26 14.8,,,,23.02,,SNI:,22,1
4,SN 1995at,SN*,01 04 50.94,+04 33 53.0,,,,22.62,,SNI:,17,1
5,SN 1992bo,SN*,01 21 58.44,-34 12 43.5,,15.85,15.76,,,SNIa,113,1
6,SN 1992br,SN*,01 45 44.83,-56 05 57.9,,19.34,19.24,,,SNIa,49,1
7,SN 1995aw,SN*,02 24 55.54,+00 53 07.5,,,,21.75,,SNI:,20,1
8,SN 1995ax,SN*,02 26 25.80,+00 48 44.2,,,,22.53,,SNI:,22,1
9,SN 1994am,SN*,02 40 02.06,-01 37 14.9,,,,21.82,,SNIa:,16,1
10,SN 1994H,SN*,02 40 04.70,-01 34 06.4,,,,21.28,,SNIa:,24,1
11,SN 1995ay,SN*,03 01 07.52,+00 21 19.4,,,,22.64,,SNI:,22,1
12,SN 1992bc,SN*,03 05 16.05,-39 33 34.6,,15.15,15.17,,,SNIa,126,1
13,SN 1994al,SN*,03 06 22.45,+17 18 33.7,,,,22.37,,SNIa,17,1
14,SN 1992bs,SN*,03 29 27.20,-37 16 18.9,,,18.28,,,SNIa,55,1
15,SN 1992bp,SN*,03 36 37.95,-18 21 13.7,,18.53,18.37,,,SNIa,64,1
16,SN 1995az,SN*,04 40 33.59,-05 30 03.6,,,,22.44,,SNI:,23,1
17,SN 1997F,SN*,04 55 14.27,-05 51 44.8,,,,22.9,,SNIa,22,1
18,SN 1997G,SN*,04 58 30.23,-03 16 04.0,,,,23.56,,SNIa,16,1
19,SN 1992bh,SN*,04 59 27.55,-58 49 44.2,,17.68,17.55,,,SNIa,62,1
20,SN 1997H,SN*,04 59 36.57,-03 09 34.6,,,,22.68,,SNIa,21,1
21,SN 1997I,SN*,04 59 37.31,-03 09 01.6,,,,20.04,,SNIa,19,1
22,SN 1997J,SN*,07 41 17.83,+09 33 11.4,,,,23.25,,SNIa:,15,1
23,SN 1992bg,SN*,07 41 56.55,-62 31 10.0,,17.39,16.66,,,SNIa,55,2
24,SN 1997K,SN*,07 54 55.09,+04 19 01.3,,,,23.73,,SNIa,15,1
25,SN 1995ba,SN*,08 19 06.46,+07 43 21.2,,,,22.08,,SNI:,20,1
26,SN 1997L,SN*,08 21 57.14,+03 53 35.7,,,,22.93,,SNIa,14,1
27,SN 1997N,SN*,08 23 50.03,+03 28 52.8,,,,20.19,,SNIa,17,1
28,SN 1997af,SN*,08 23 52.67,+04 08 44.0,,,,22.96,,SNIa,23,1
29,SN 1997O,SN*,08 24 02.51,+04 07 33.1,,,,22.97,,SNIa,21,1
30,SN 1997ac,SN*,08 24 05.21,+04 11 22.6,,,,21.38,,SNIa,20,1
31,SN 1996cg,SN*,08 24 13.33,+03 24 58.5,,,,22.46,,SNIa,22,1
32,SN 1993ag,SN*,10 03 35.00,-35 27 47.6,,18.3,17.78,,,SNIa,66,1
33,SN 1994G,SN*,10 19 26.68,+50 52 19.4,,,,21.52,,SNIa,20,1
34,SN 1993B,SN*,10 34 51.38,-34 26 30.0,,18.81,18.39,,,SNIa,54,1
35,SN 1996cf,SN*,10 48 50.96,+00 03 30.4,,,,22.7,,SNIa,21,1
36,SN 1997ai,SN*,10 48 57.61,+00 31 50.0,,,,22.25,,SNIa,22,1
37,SN 1997aj,SN*,10 55 52.98,-03 59 02.3,,,,22.55,,SNIa,21,1
38,SN 1997P,SN*,10 55 55.93,-03 56 48.2,,,,22.52,,SNIa,18,1
39,SN 1997Q,SN*,10 56 51.48,-03 58 36.9,,,,22.01,,SNIa,16,1
40,SN 1996cl,SN*,10 56 59.13,-03 37 36.4,,,,23.53,,SNIa:,24,1
41,SN 1997R,SN*,10 57 19.23,-03 54 51.7,,,,23.28,,SNIa,18,1
42,SN 1997am,SN*,10 57 31.52,-03 13 48.3,,,,21.97,,SNIa,21,1
43,SN 1997S,SN*,10 57 51.59,-03 45 46.9,,,,23.03,,SNIa,14,1
44,SN 1994F,SN*,11 49 59.53,+10 42 57.8,,,,22.08,,SNIa,18,1
45,SN 1992P,SN*,12 42 48.93,+10 21 36.2,,16.14,16.09,,,SNIa,73,1
